sex,bs,n_breed,divorce,age,breed_exp,boldness,mate_boldness,year,last_bs
F,1,3,1,20,4,3.277168,0,2011,1
F,0.666666667,3,0,13,3,NA,NA,2004,0
M,0.8,5,0,20,5,0.4025061,3.273853,2011,1
F,1,3,0,17,3,NA,NA,2008,1
M,1,4,0,18,5,1.348163,NA,2009,1
M,1,2,0,20,6,1.348163,1.853362,2011,1
M,1,4,0,15,4,NA,NA,2006,1
M,1,3,0,19,4,2.212249,NA,2010,1
F,0.8,5,0,19,5,0.347735,1.681068,2010,1
F,0.666666667,3,0,13,3,NA,0.5148582,2004,0
F,0.857142857,7,0,20,7,3.37567,3.483334,2011,1
F,1,4,0,20,5,1.503159,NA,2011,1
F,1,7,0,20,7,1.88543,3.567314,2011,1
M,0.666666667,6,0,20,6,2.508439,0.7218985,2011,0
M,1,1,0,16,2,-0.05122678,NA,2007,1
M,1,2,0,20,3,-0.05122678,NA,2011,1
F,1,2,0,13,3,NA,NA,2004,1
M,1,7,0,20,7,3.567314,1.88543,2011,1
M,0.333333333,3,0,18,4,NA,NA,2009,0
M,1,2,0,17,2,NA,-0.005355197,2008,1
M,1,3,0,14,3,NA,1.448773,2005,1
M,0,1,0,11,2,NA,NA,2002,0
M,0.6,5,1,19,6,3,0.5725492,2010,1
F,1,1,0,11,2,1.301665,NA,2002,1
F,0.833333333,6,0,20,7,1.301665,2.738147,2011,1
M,0.666666667,3,0,13,3,NA,0.09314808,2004,1
F,0,2,0,10,2,NA,NA,2001,0
M,0,2,0,10,2,NA,NA,2001,0
M,1,4,0,18,5,1.99091,NA,2009,1
F,1,2,0,11,2,NA,3.362309,2002,1
M,1,4,0,20,4,3,NA,2011,1
F,1,6,1,20,7,2.925052,1.74625,2011,1
M,1,2,0,12,2,NA,NA,2003,1
M,0.666666667,3,0,13,3,NA,NA,2004,1
M,0,1,0,12,2,0.8798374,NA,2003,0
M,1,2,0,17,4,0.8798374,NA,2008,1
M,1,1,1,19,5,0.8798374,2.347735,2010,1
F,0.857142857,7,0,20,7,1.798154,1.725945,2011,1
F,0.75,4,0,19,5,1.313584,NA,2010,1
M,0.666666667,3,0,20,4,2.535364,NA,2011,0
M,1,6,0,19,6,1.038892,2.014402,2010,1
F,1,2,0,11,2,NA,1.886693,2002,1
F,0.666666667,3,0,13,3,NA,NA,2004,1
F,0.8,5,0,17,5,0.5892742,2.821046,2008,1
M,0.666666667,3,0,13,3,NA,NA,2004,1
M,1,2,1,16,3,0.2122494,0.1097958,2007,1
M,1,1,0,19,4,0.2122494,NA,2010,1
M,0.5,2,0,11,2,NA,1.175052,2002,1
M,1,1,1,10,2,1.293171,2.668077,2001,1
M,1,2,0,15,4,1.293171,NA,2006,1
M,1,1,0,18,5,1.293171,NA,2009,1
M,1,2,0,20,6,1.293171,1.190668,2011,1
M,1,2,0,12,2,NA,1.293171,2003,1
F,0.666666667,3,0,13,3,NA,NA,2004,1
F,0.833333333,6,0,20,6,3.149254,1.738147,2011,0
M,1,4,0,19,4,2.347735,1.865781,2010,1
M,0.8,5,0,20,5,1.863779,1.05035,2011,1
F,0.8,5,0,15,5,NA,2.635917,2006,1
F,1,6,0,20,6,3.540472,3.072549,2011,1
F,1,3,0,17,3,1.865781,2.347735,2010,1
M,0.25,4,0,15,4,NA,NA,2008,1
M,0.5,4,0,18,5,NA,NA,2010,1
M,1,1,1,19,2,1.110652,1.147859,2011,1
M,0.75,4,0,18,4,NA,2.98025,2010,0
M,1,5,0,19,5,2.003159,0.7600957,2011,1
M,1,1,0,17,2,2.567314,NA,2009,1
M,1,2,0,19,3,2.567314,3.348163,2011,1
M,1,4,0,19,4,1.141395,2.978587,2011,1
NA,0.5,2,0,18,3,NA,NA,2010,1
F,0.5,6,0,18,6,2.195602,2.059278,2010,0
F,0.666666667,6,0,18,6,1.604627,2.109796,2010,1
M,0.5,6,0,18,6,1.470046,0.441508,2010,1
F,0.8,5,0,18,5,NA,0.8605088,2010,1
M,0.5,2,0,11,2,NA,1.880613,2003,1
M,0.5,2,1,10,3,NA,0.4939376,2002,1
M,0.5,6,1,19,7,2.059278,2.195602,2011,0
F,1,2,0,10,2,NA,1.322549,2002,1
M,0.666666667,3,1,17,4,0.768348,1.335364,2009,1
M,1,2,0,19,5,0.768348,1.440668,2011,1
M,1,1,0,15,2,-0.005355197,NA,2007,1
M,0.666666667,3,0,18,4,-0.005355197,1.224748,2010,1
M,0.25,4,0,13,5,NA,NA,2005,0
M,1,2,0,11,2,NA,NA,2003,1
F,0.25,4,0,12,4,NA,NA,2004,0
F,0.8,5,0,18,5,0.1169208,0.8263576,2010,1
M,0.833333333,6,0,19,6,1.457124,2.724748,2011,1
F,0.333333333,3,0,10,3,NA,1.195612,2002,1
M,1,3,0,14,3,NA,0.4502542,2006,1
F,1,1,1,11,2,NA,NA,2003,1
F,0,1,1,13,3,NA,NA,2005,0
M,0.333333333,6,0,15,6,NA,2.271273,2007,1
F,0.666666667,3,1,14,4,1.335364,0.768348,2006,1
F,1,1,0,16,5,1.335364,NA,2008,1
F,1,1,1,19,6,1.335364,0.5856182,2011,1
M,0.5,4,0,14,4,NA,-0.05122678,2006,1
M,1,3,0,15,3,NA,1.717934,2007,1
M,1,1,0,16,2,2.826358,NA,2008,1
M,1,2,0,18,3,2.826358,2.362309,2010,1
M,0.5,4,0,13,4,NA,1.24566,2005,1
NA,1,2,0,11,2,NA,NA,2003,1
F,1,4,0,15,4,NA,NA,2007,1
M,0.666666667,3,0,12,3,1.519807,1.453766,2004,1
F,1,2,1,13,3,1.255941,NA,2005,1
F,1,3,0,19,5,1.255941,NA,2011,1
M,0.5,2,0,15,2,NA,3.519807,2007,1
F,1,3,0,12,3,NA,2.212249,2004,1
M,1,2,0,19,3,1.519807,1.684725,2011,1
M,0.5,2,0,11,2,NA,0.9487732,2003,0
M,0.75,4,0,19,5,NA,NA,2011,1
F,0.5,2,0,13,3,1.175052,NA,2005,1
F,1,1,0,16,4,1.175052,NA,2008,1
F,1,2,0,19,5,1.175052,3.322549,2011,1
F,0.666666667,3,0,14,3,NA,NA,2006,1
F,1,2,0,17,3,0.9662814,NA,2009,1
F,0,3,0,19,5,0.9662814,3.585618,2011,0
F,0.5,2,0,9,2,NA,NA,2001,1
M,0.75,4,0,18,4,1.913536,4.519807,2010,0
F,1,1,0,12,2,3.072549,NA,2004,1
F,0.8,5,0,19,6,3.072549,1.290092,2011,1
M,0.8,5,0,18,5,3.24625,1.086346,2010,1
M,0.666666667,6,0,19,6,1.831701,2.331701,2011,1
M,0.25,4,0,18,4,3.228596,2.157011,2010,1
F,1,2,0,15,3,NA,NA,2007,1
F,1,1,1,18,4,NA,1.699178,2010,1
F,0.666666667,3,1,15,4,1.05035,1.863779,2007,1
F,1,1,0,17,5,1.05035,NA,2009,1
F,1,2,0,19,6,1.05035,1.863779,2011,1
M,0.833333333,6,0,17,6,2.895716,2.038573,2009,1
F,0.833333333,6,0,19,6,0.8943436,1.046936,2011,1
M,0,1,0,11,2,0.1097958,NA,2003,0
M,1,5,0,18,6,0.1097958,1.32351,2010,1
M,1,6,0,18,6,1.524074,1.014402,2010,1
M,0.833333333,6,0,19,6,1.046936,0.8943436,2011,1
F,0.333333333,3,0,14,3,NA,0.5198069,2006,0
M,1,1,0,13,2,0.1097958,NA,2005,1
M,1,1,0,16,3,0.1097958,NA,2008,1
M,1,2,0,15,3,2.470046,NA,2007,1
M,0.666666667,3,0,18,5,2.470046,1.585466,2010,1
M,0.666666667,3,0,14,3,NA,NA,2006,1
M,0.6,5,0,19,5,0.7815171,1.720046,2011,1
M,0.5,2,0,12,2,NA,NA,2004,1
F,1,2,0,11,2,NA,NA,2003,1
M,1,4,1,18,5,0.347735,2.718764,2010,1
M,1,6,0,19,6,3.519807,3.519807,2011,1
M,1,5,0,19,5,1.443985,0.1097958,2011,1
F,0.5,4,0,13,4,NA,NA,2005,1
M,0.666666667,3,0,16,3,3.109796,NA,2008,1
M,1,1,0,15,2,3.212249,NA,2008,1
M,1,1,0,18,2,3.212249,2.798154,2011,1
M,1,2,0,11,2,NA,1.362309,2004,1
F,0.5,2,0,10,2,NA,1.513279,2003,0
M,1,1,0,12,2,NA,NA,2005,1
M,0,1,0,18,2,NA,3.250362,2011,0
M,1,3,1,15,4,1.948773,1.585466,2008,1
M,1,2,0,17,5,1.948773,2.872246,2010,1
M,0,1,1,9,2,NA,NA,2002,0
M,1,4,0,15,5,NA,2.298154,2008,1
M,0.5,2,0,13,3,1.513279,NA,2006,0
M,1,3,0,17,5,1.513279,2.147859,2010,1
M,1,3,0,15,3,NA,NA,2008,1
M,1,4,0,18,4,3.362309,NA,2011,1
M,1,5,0,18,5,NA,0.8177387,2011,1
M,0.75,4,1,16,5,NA,NA,2009,0
M,1,3,0,14,4,3.144375,NA,2007,1
M,1,2,0,18,5,3.144375,3.392611,2011,1
F,1,2,0,14,3,1.362309,NA,2007,1
F,1,3,0,18,5,1.362309,0.7981536,2011,1
F,1,3,0,11,3,NA,3.144375,2004,1
M,1,5,0,17,5,5.423472,1.224748,2010,1
M,1,1,0,18,2,NA,NA,2011,1
F,1,4,0,17,4,3.171893,0.4070109,2010,1
M,1,4,0,18,5,3.519807,1.519807,2011,1
M,0.5,2,0,11,2,NA,1.648117,2004,0
M,0.5,6,0,18,6,0.4048138,0.9085905,2011,1
F,0.5,2,0,8,2,NA,NA,2001,1
M,1,1,1,11,2,0.4502542,1.648117,2004,1
